product_id,product_pricing,product_margin,prod_date,category_code
P001001,49.99,0.25,15-08-2022,CAT-A
P002002,29.95,0.15,22-07-2022,CAT-B
P003003,99.5,0.3,10-09-2022,CAT-C
P004004,14.99,0.2,05-06-2022,CAT-A
P005005,79.99,0.18,02-08-2022,CAT-D
P006006,39.95,0.22,12-07-2022,CAT-B
P007007,59.5,0.28,05-09-2022,CAT-C
P008008,24.99,0.15,18-06-2022,CAT-A
P009009,69.99,0.2,25-08-2022,CAT-D
P010010,49.95,0.25,01-07-2022,CAT-B
P011011,109.5,0.3,15-09-2022,CAT-C
P012012,19.99,0.18,12-06-2022,CAT-A
P013013,89.95,0.22,08-08-2022,CAT-D
P014014,79.5,0.28,18-09-2022,CAT-C
P015015,29.99,0.15,28-06-2022,CAT-B
P016016,49.95,0.2,30-07-2022,CAT-A
P017017,99.99,0.18,20-08-2022,CAT-D
P018018,59.95,0.22,08-07-2022,CAT-B
P019019,69.5,0.28,01-09-2022,CAT-C
P020020,14.99,0.15,15-06-2022,CAT-A
P021021,49.95,0.2,10-08-2022,CAT-D
P022022,79.99,0.18,05-07-2022,CAT-B
P023023,109.5,0.3,12-09-2022,CAT-C
P024024,19.95,0.22,22-06-2022,CAT-A
P025025,89.99,0.28,15-08-2022,CAT-D
P026026,39.5,0.15,03-07-2022,CAT-B
P027027,59.95,0.2,28-08-2022,CAT-A
P028028,99.99,0.3,08-09-2022,CAT-C
P029029,24.95,0.18,08-06-2022,CAT-D
P030030,79.5,0.22,15-07-2022,CAT-B
P031031,29.99,0.28,03-09-2022,CAT-C
P032032,49.95,0.15,25-06-2022,CAT-A
P033033,69.99,0.2,05-08-2022,CAT-D
P034034,109.5,0.3,20-09-2022,CAT-C
P035035,14.99,0.22,10-07-2022,CAT-B
P036036,89.95,0.18,18-08-2022,CAT-D
P037037,79.5,0.28,10-09-2022,CAT-C
P038038,29.99,0.15,20-06-2022,CAT-A
P039039,49.95,0.2,12-08-2022,CAT-D
P040040,69.99,0.18,07-07-2022,CAT-B
P041041,109.5,0.3,22-09-2022,CAT-C
P042042,19.99,0.22,10-06-2022,CAT-A
P043043,89.95,0.28,22-08-2022,CAT-D
P044044,79.5,0.15,25-07-2022,CAT-B
P045045,29.99,0.2,30-08-2022,CAT-A
P046046,99.99,0.18,05-09-2022,CAT-D
P047047,59.95,0.22,17-07-2022,CAT-B
P048048,69.5,0.28,14-07-1905,
